Negara,Provinsi,Lat,Lon,Tahun ,Jumlah Puskesmas ,Jumlah Rumah Sakit Khusus,Jumlah Rumah Sakit Umum,Persentase kemiskinan (sem.1 (maret)),Persentase kemiskinan (sem.2 (september)),Jumlah kemiskinan (sem.2 (september)),Jumlah Penduduk Yang Dicakup Asuransi Kesehatan Atau Sistem Kesehatan Masyarakat (Orang),Suhu Minimum ,Suhu Rata-rata,Suhu Maksimum,jumlah penduduk ,Jumlah Penduduk (ribu jiwa),Luas Wilayah,Kepadatan penduduk (jiwa/km2),Persentase Rumah Tangga menurut Provinsi dan Memiliki Akses terhadap Sanitasi Layak (Persen),Jumlah Curah Hujan (mm),Jumlah Hari Hujan (hari),Annual Parasite Incidence (API),"Status Endemisitas (0=Eliminasi, 1=Rendah, 2=Sedang, 3=Tinggi)"
Indonesia,Aceh,4.695135,96.7493993,2012,330,5,46,19.46,18.58,876.56,"4,494,410",22.60,26.90,34.60,"4,715,000","4,715","57,956",82,52.53,"1,098",137.00,0.439,1
Indonesia,North Sumatra,2.1153547,99.5450974,2012,555,16,158,10.67,10.41,1378.45,"5,828,093",21.00,27.30,36.90,"13,408,000","13,408","72,981",184,59.7,"3,175",227.00,0.842,1
Indonesia,West Sumatra,-0.7399397,100.8000051,2012,260,21,38,8.19,8,397.86,"2,747,877",21.50,25.20,31.50,"5,000,000","5,000","42,012",120,44.36,"4,339",230.00,0.247,1
Indonesia,Riau,0.2933469,101.7068294,2012,207,10,43,8.22,8.05,481.31,"3,602,969",23.10,27.30,33.80,"5,879,000","5,879","87,023",68,58.38,"2,636",217.00,0.202,1
Indonesia,Riau Islands,-1.4851831,102.4380581,2012,176,3,24,8.42,8.28,270.08,"1,354,637",20.60,26.70,34.40,"3,227,000","3,227","5,016",644,50.13,"1,874",191.00,1.287,2
Indonesia,Jambi,-3.3194374,103.914399,2012,317,8,34,13.78,13.48,1042.04,"7,450,394",23.70,27.40,34.60,"7,714,000","7,714","91,592",85,53.59,"3,083",194.00,0.195,1
Indonesia,South Sumatra,-3.5778471,102.3463875,2012,178,1,17,17.7,17.51,310.47,"859,280",22.50,26.90,32.10,"1,784,000","1,784","19,919",90,35.93,"2,545",143.00,5.319,3
Indonesia,Bangka Belitung Islands,-4.5585849,105.4068079,2012,276,9,37,16.18,15.65,1218.99,"7,608,405",21.20,26.80,34.10,"7,835,000","7,835","35,376",222,43.72,"1,685",143.00,0.176,1
Indonesia,Bengkulu,-2.7410513,106.4405872,2012,60,1,12,5.53,5.37,70.21,"1,068,280",23.30,27.00,32.60,"1,287,000","1,287","16,424",79,75.4,"2,018",195.00,2.659,2
Indonesia,Lampung,3.9456514,108.1428669,2012,69,3,22,7.11,6.83,131.22,"1,398,256",22.20,26.80,33.20,"1,805,000","1,805","8,202",221,69.2,"3,253",202.00,2.473,2
